temperature_K,dipole_manifold,manifold_states,twist_halfwidth_deg,tilt_deg,kBT_J,face_vdw_kBT,face_u_min_kBT,face_dipole_min_kBT,face_f_dip_kBT,face_f_dip_quenched_kBT,face_degeneracy,tip_vdw_kBT,tip_u_min_kBT,tip_dipole_min_kBT,tip_f_dip_kBT,tip_f_dip_quenched_kBT,tip_degeneracy,d_vdW_kBT,d_U_min_kBT,d_dipole_min_kBT,d_F_dip_kBT,d_F_dip_quenched_kBT,d_F_twist_kBT,d_F_energy_only_kBT,d_F_total_kBT,d_F_total_quenched_kBT,preferred_energy_only,preferred_with_entropy,preferred_single_pair,d_vdW_J,d_U_min_J,d_dipole_min_J,d_F_dip_J,d_F_dip_quenched_J,d_F_twist_J,d_F_energy_only_J,d_F_total_J,d_F_total_quenched_J
212.0,free,64,1.0,2.0,2.92697588e-21,-1.6684240761760607,-10.718837244983588,-9.050413168807527,-8.661061489770233,-8.661061489770233,1,-0.08381361132076436,-4.09917346295741,-4.015359851636646,-1.3767597485037486,-1.3767597485037486,1,1.5846104648552963,6.619663782026178,5.035053317170881,7.284301741266485,7.284301741266485,-8.1886891244442,7.284301741266485,-0.904387383177716,-0.904387383177716,face,tip,tip,4.63811660982704e-21,1.9375596223700202e-20,1.473747961387316e-20,2.1320975499329e-20,2.1320975499329e-20,-2.3968095556066495e-20,2.1320975499329e-20,-2.6471200567374925e-21,-2.6471200567374925e-21
213.0,free,64,1.0,2.0,2.94078237e-21,-1.660591099292605,-10.668514065429674,-9.00792296613707,-8.611203562981057,-8.611203562981057,1,-0.08342012018780302,-4.079928517121929,-3.996508396934126,-1.3645589425469051,-1.3645589425469051,1,1.5771709791048019,6.588585548307745,5.011414569202944,7.246644620434152,7.246644620434152,-8.1886891244442,7.246644620434152,-0.9420445040100489,-0.9420445040100489,face,tip,tip,4.63811660982704e-21,1.9375596223700202e-20,1.4737479613873163e-20,2.1310804741428097e-20,2.1310804741428097e-20,-2.408115261057624e-20,2.1310804741428097e-20,-2.7703478691481464e-21,-2.7703478691481464e-21
214.0,free,64,1.0,2.0,2.95458886e-21,-1.6528313278005835,-10.618661195965048,-8.965829868164466,-8.561821450301139,-8.561821450301139,1,-0.08303030654206563,-4.060863430593321,-3.9778331240512563,-1.3525213388119415,-1.3525213388119415,1,1.5698010212585178,6.557797765371727,4.987996744113209,7.209300111489197,7.209300111489197,-8.1886891244442,7.209300111489197,-0.9793890129550036,-0.9793890129550036,face,tip,tip,4.63811660982704e-21,1.93755962237002e-20,1.473747961387316e-20,2.130051779780274e-20,2.130051779780274e-20,-2.419420966508599e-20,2.130051779780274e-20,-2.8936918672832495e-21,-2.8936918672832495e-21
215.0,free,64,1.0,2.0,2.96839535e-21,-1.645143740229418,-10.56927207412335,-8.924128333893933,-8.512908581449004,-8.512908581449004,1,-0.08264411906977695,-4.041975693706841,-3.9593315746370643,-1.340644093440457,-1.340644093440457,1,1.5624996211596411,6.52729638041651,4.964796759256869,7.172264488008547,7.172264488008547,-8.1886891244442,7.172264488008547,-1.0164246364356542,-1.0164246364356542,face,tip,tip,4.638116609827041e-21,1.93755962237002e-20,1.473747961387316e-20,2.12901165551747e-20,2.12901165551747e-20,-2.4307266719595737e-20,2.12901165551747e-20,-3.0171501644210367e-21,-3.0171501644210367e-21
216.0,free,64,1.0,2.0,2.98220184e-21,-1.6375273340246521,-10.520340258965373,-8.88281292494072,-8.464458507013447,-8.464458507013447,1,-0.08226150740741686,-4.023262843273013,-3.941001335865596,-1.3289244216832978,-1.3289244216832978,1,1.5552658266172352,6.49707741569236,4.941811589075124,7.135534085330149,7.135534085330149,-8.1886891244442,7.135534085330149,-1.0531550391140518,-1.0531550391140518,face,tip,tip,4.63811660982704e-21,1.93755962237002e-20,1.473747961387316e-20,2.1279602878654287e-20,2.1279602878654287e-20,-2.4420323774105486e-20,2.1279602878654287e-20,-3.1407208954511975e-21,-3.1407208954511975e-21
217.0,free,64,1.0,2.0,2.99600833e-21,-1.6299811251120961,-10.471859428278895,-8.8418783031668,-8.41646489566644,-8.41646489566644,1,-0.08188242211982508,-4.004722461506778,-3.922840039386953,-1.3173595965286644,-1.3173595965286644,1,1.548098702992271,6.4671369667721175,4.919038263779846,7.099105299137776,7.099105299137776,-8.1886891244442,7.099105299137776,-1.0895838253064252,-1.0895838253064252,face,tip,tip,4.63811660982704e-21,1.93755962237002e-20,1.4737479613873157e-20,2.126897861176392e-20,2.126897861176392e-20,-2.4533380828615232e-20,2.126897861176392e-20,-3.2644022168513148e-21,-3.2644022168513148e-21
218.0,free,64,1.0,2.0,3.00981482e-21,-1.6225041474739672,-10.423823375855598,-8.801319228381631,-8.368921531453044,-8.368921531453044,1,-0.08150681467890845,-3.986352174986105,-3.9048453603071964,-1.3059469473638403,-1.3059469473638403,1,1.5409973327950588,6.437471200869493,4.896473868074435,7.062974584089203,7.062974584089203,-8.1886891244442,7.062974584089203,-1.1257145403549975,-1.1257145403549975,face,tip,tip,4.63811660982704e-21,1.93755962237002e-20,1.473747961387316e-20,2.1258245576475023e-20,2.1258245576475023e-20,-2.4646437883124982e-20,2.1258245576475023e-20,-3.38819230664996e-21,-3.38819230664996e-21
219.0,free,64,1.0,2.0,3.02362131e-21,-1.6150954527366432,-10.37622600884256,-8.761130556105917,-8.32182231115587,-8.32182231115587,1,-0.0811346374429317,-3.968149653639136,-3.8870150161962047,-1.2946838586697185,-1.2946838586697185,1,1.5339608152937116,6.4080763552034234,4.874115539909711,7.0271384524861515,7.0271384524861515,-8.1886891244442,7.0271384524861515,-1.1615506719580493,-1.1615506719580493,face,tip,tip,4.638116609827041e-21,1.9375596223700202e-20,1.473747961387316e-20,2.1247405573257552e-20,2.1247405573257552e-20,-2.4759494937634728e-20,2.1247405573257552e-20,-3.512089364377178e-21,-3.512089364377178e-21
220.0,free,64,1.0,2.0,3.0374278e-21,-1.6077541097696584,-10.329061345166002,-8.721307235396344,-8.275161241731716,-8.275161241731716,1,-0.08076584363637292,-3.9501126097589583,-3.8693467661225855,-1.28356776874731,-1.28356776874731,1,1.5269882661332854,6.378948735407043,4.851960469273758,6.991593472984406,6.991593472984406,-8.1886891244442,6.991593472984406,-1.1970956514597946,-1.1970956514597946,face,tip,tip,4.63811660982704e-21,1.93755962237002e-20,1.4737479613873157e-20,2.1236460381141387e-20,2.1236460381141387e-20,-2.4872551992144477e-20,2.1236460381141387e-20,-3.6360916110030905e-21,-3.6360916110030905e-21
221.0,free,64,1.0,2.0,3.05123429e-21,-1.6004792042955875,-10.282323511024979,-8.681844306729392,-8.228932437818045,-8.228932437818045,1,-0.08040038733032598,-3.932238797045117,-3.851838409714791,-1.2725961684754603,-1.2725961684754603,1,1.5200788169652615,6.350084713979862,4.830005897014601,6.956336269342585,6.956336269342585,-8.1886891244442,6.956336269342585,-1.2323528551016159,-1.2323528551016159,face,tip,tip,4.63811660982704e-21,1.93755962237002e-20,1.473747961387316e-20,2.122541175778877e-20,2.122541175778877e-20,-2.4985609046654223e-20,2.122541175778877e-20,-3.760197288865452e-21,-3.760197288865452e-21
222.0,free,64,1.0,2.0,3.06504078e-21,-1.5932698385104724,-10.236006738452794,-8.642736899942323,-8.183130119307155,-8.183130119307155,1,-0.08003822342343263,-3.9145260096710395,-3.834487786247607,-1.2617666000989871,-1.2617666000989871,1,1.5132316150870397,6.321480728781754,4.808249113694716,6.9213635192081675,6.9213635192081675,-8.1886891244442,6.9213635192081675,-1.2673256052360333,-1.2673256052360333,face,tip,tip,4.63811660982704e-21,1.93755962237002e-20,1.4737479613873163e-20,2.121426143957735e-20,2.121426143957735e-20,-2.5098666101163973e-20,2.121426143957735e-20,-3.8844046615866235e-21,-3.8844046615866235e-21
223.0,free,64,1.0,2.0,3.0788472700000002e-21,-1.5861251307144613,-10.190105362944037,-8.603980232229576,-8.13774860898586,-8.13774860898586,1,-0.07967930762332755,-3.8969720813765507,-3.8172927737532234,-1.251076656046501,-1.251076656046501,1,1.5064458230911337,6.293133281567486,4.786687458476353,6.886671952939358,6.886671952939358,-8.1886891244442,6.886671952939358,-1.3020171715048425,-1.3020171715048425,face,tip,tip,4.63811660982704e-21,1.9375596223700196e-20,1.4737479613873157e-20,2.1203011141692913e-20,2.1203011141692913e-20,-2.521172315567372e-20,2.1203011141692913e-20,-4.0087120139808064e-21,-4.0087120139808064e-21
224.0,free,64,1.0,2.0,3.0926537600000002e-21,-1.5790442149523432,-10.14461382114518,-8.565569606192838,-8.092782330238634,-8.092782330238634,1,-0.07932359642858054,-3.879574884584691,-3.800251288156111,-1.24052397777717,-1.24052397777717,1,1.4997206185237626,6.265038936560488,4.765318318036727,6.852258352461464,6.852258352461464,-8.1886891244442,6.852258352461464,-1.3364307719827364,-1.3364307719827364,face,tip,tip,4.63811660982704e-21,1.9375596223700196e-20,1.4737479613873163e-20,2.1191662558231356e-20,2.1191662558231356e-20,-2.5324780210183468e-20,2.1191662558231356e-20,-4.1331176519521125e-21,-4.1331176519521125e-21
225.0,free,64,1.0,2.0,3.1064602500000002e-21,-1.572026240663666,-10.099526648606757,-8.52750040794309,-8.048225804812272,-8.048225804812272,1,-0.07897104711112019,-3.8623323295420926,-3.7833612824309726,-1.2301062546557109,-1.2301062546557109,1,1.4930551935525458,6.237194319064664,4.744139125512119,6.8181195501565615,6.8181195501565615,-8.1886891244442,6.8181195501565615,-1.3705695742876394,-1.3705695742876394,face,tip,tip,4.63811660982704e-21,1.93755962237002e-20,1.473747961387316e-20,2.118021736230924e-20,2.118021736230924e-20,-2.5437837264693214e-20,2.118021736230924e-20,-4.257619902383974e-21,-4.257619902383974e-21
226.0,free,64,1.0,2.0,3.1202667400000002e-21,-1.5650703723421453,-10.054838477595222,-8.489768105253077,-8.004073650640116,-8.004073650640116,1,-0.07862161769912408,-3.8452423634821717,-3.766620745783048,-1.2198212228549146,-1.2198212228549146,1,1.4864487546430212,6.209596114113051,4.72314735947003,6.784252427785201,6.784252427785201,-8.1886891244442,6.784252427785201,-1.4044366966589994,-1.4044366966589994,face,tip,tip,4.63811660982704e-21,1.93755962237002e-20,1.473747961387316e-20,2.1168677206182418e-20,2.1168677206182418e-20,-2.5550894319202964e-20,2.1168677206182418e-20,-4.3822171130205456e-21,-4.3822171130205456e-21
227.0,free,64,1.0,2.0,3.1340732300000002e-21,-1.5581757892040742,-10.010544034962644,-8.45236824575857,-7.960320579723999,-7.960320579723999,1,-0.07827526696036143,-3.828302969810444,-3.750027702850083,-1.209666664285023,-1.209666664285023,1,1.4799005222437127,6.1822410651521995,4.7023405429084875,6.750653915438976,6.750653915438976,-8.1886891244442,6.750653915438976,-1.4380352090052249,-1.4380352090052249,face,tip,tip,4.63811660982704e-21,1.9375596223700196e-20,1.4737479613873157e-20,2.115704372137198e-20,2.115704372137198e-20,-2.566395137371271e-20,2.115704372137198e-20,-4.506907652340731e-21,-4.506907652340731e-21
228.0,free,64,1.0,2.0,3.1478797200000003e-21,-1.55134168486546,-9.966638140072458,-8.415296455206999,-7.916961396072176,-7.916961396072176,1,-0.07793195438597386,-3.8115121673112755,-3.7335802129253017,-1.1996404055492809,-1.1996404055492809,1,1.4734097304794862,6.155125972761183,4.681716242281697,6.717320990522895,6.717320990522895,-8.1886891244442,6.717320990522895,-1.471368133921306,-1.471368133921306,face,tip,tip,4.638116609827041e-21,1.9375596223700202e-20,1.473747961387316e-20,2.1145318518797335e-20,2.1145318518797335e-20,-2.577700842822246e-20,2.1145318518797335e-20,-4.631689909425124e-21,-4.631689909425124e-21
229.0,free,64,1.0,2.0,3.1616862100000003e-21,-1.5445672670276194,-9.923115702779565,-8.378548435751945,-7.873990993691463,-7.873990993691463,1,-0.07759164017468141,-3.7948680093754183,-3.717276369200737,-1.1897403169250298,-1.1897403169250298,1,1.466975626852938,6.1282476934041465,4.6612720665512075,6.684250676766434,6.684250676766434,-8.1886891244442,6.684250676766434,-1.5044384476777672,-1.5044384476777672,face,tip,tip,4.63811660982704e-21,1.93755962237002e-20,1.4737479613873157e-20,2.1133503188915604e-20,2.1133503188915604e-20,-2.5890065482732206e-20,2.1133503188915604e-20,-4.7565622938166035e-21,-4.7565622938166035e-21
230.0,free,64,1.0,2.0,3.1754927000000003e-21,-1.5378517571709776,-9.879971721463132,-8.342119964292154,-7.831404354631993,-7.831404354631993,1,-0.07725428521740019,-3.778368583247699,-3.701114298030299,-1.1799643113696971,-1.1799643113696971,1,1.4605974719535775,6.101603138215433,4.641005666261854,6.651440043262296,6.651440043262296,-8.1886891244442,6.651440043262296,-1.5372490811819048,-1.5372490811819048,face,tip,tip,4.638116609827041e-21,1.93755962237002e-20,1.4737479613873157e-20,2.1121599301867106e-20,2.1121599301867106e-20,-2.6003122537241955e-20,2.1121599301867106e-20,-4.881523235374847e-21,-4.881523235374847e-21
231.0,free,64,1.0,2.0,3.1892991900000003e-21,-1.5311943902568175,-9.837201281110477,-8.306006890853661,-7.789196547082901,-7.789196547082901,1,-0.07691985108225992,-3.7620120092942457,-3.685092158211986,-1.1703103435510682,-1.1703103435510682,1,1.4542745391745575,6.075189271816232,4.620914732641674,6.618886203531833,6.618886203531833,-8.1886891244442,6.618886203531833,-1.5698029209123678,-1.5698029209123678,face,tip,tip,4.63811660982704e-21,1.93755962237002e-20,1.473747961387316e-20,2.1109608407626252e-20,2.1109608407626252e-20,-2.61161795917517e-20,2.1109608407626252e-20,-5.006571184125449e-21,-5.006571184125449e-21
232.0,free,64,1.0,2.0,3.2031056800000003e-21,-1.524594414436745,-9.794799551450518,-8.270205137013773,-7.747362723517502,-7.747362723517502,1,-0.0765883000000088,-3.745796440288667,-3.6692081402886583,-1.160776408901234,-1.160776408901234,1,1.4480061144367362,6.049003111161851,4.600996996725115,6.586586314616268,6.586586314616268,-8.1886891244442,6.586586314616268,-1.602102809827933,-1.602102809827933,face,tip,tip,4.63811660982704e-21,1.93755962237002e-20,1.473747961387316e-20,2.1097532036157638e-20,2.1097532036157638e-20,-2.622923664626145e-20,2.1097532036157638e-20,-5.131704610103813e-21,-5.131704610103813e-21
233.0,free,64,1.0,2.0,3.2169121700000003e-21,-1.5180510907696345,-9.75276178513528,-8.234710694365646,-7.705898118886366,-7.705898118886366,1,-0.07625959484979417,-3.7297200607166126,-3.653460465866819,-1.1513605426936229,-1.1513605426936229,1,1.4417914959198403,6.023041724418668,4.581250228498827,6.554537576192743,6.554537576192743,-8.1886891244442,6.554537576192743,-1.6341515482514577,-1.6341515482514577,face,tip,tip,4.63811660982704e-21,1.9375596223700202e-20,1.4737479613873157e-20,2.108537169757674e-20,2.108537169757674e-20,-2.6342293700771197e-20,2.108537169757674e-20,-5.256922003194457e-21,-5.256922003194457e-21
234.0,free,64,1.0,2.0,3.2307186600000003e-21,-1.5115636929458327,-9.711083315968036,-8.199519623022203,-7.664798048856924,-7.664798048856924,1,-0.07593369914530787,-3.7137810860981655,-3.637847386952858,-1.1420608191425528,-1.1420608191425528,1,1.4356299938005248,5.99730222986987,4.561672236069345,6.522737229714371,6.522737229714371,-8.1886891244442,6.522737229714371,-1.6659518947298295,-1.6659518947298295,face,tip,tip,4.63811660982704e-21,1.9375596223700202e-20,1.473747961387316e-20,2.1073128882314928e-20,2.1073128882314928e-20,-2.6455350755280946e-20,2.1073128882314928e-20,-5.382221872966016e-21,-5.382221872966016e-21
235.0,free,64,1.0,2.0,3.2445251500000003e-21,-1.5051315070184035,-9.669759557176683,-8.164628050158278,-7.624057908098185,-7.624057908098185,1,-0.07561057702128528,-3.697977762327535,-3.62236718530625,-1.1328753505247198,-1.1328753505247198,1,1.429520929997118,5.971781794849147,4.542260864852028,6.491182557573465,6.491182557573465,-8.1886891244442,6.491182557573465,-1.6975065668707359,-1.6975065668707359,face,tip,tip,4.63811660982704e-21,1.9375596223700202e-20,1.4737479613873157e-20,2.1060805061288433e-20,2.1060805061288433e-20,-2.6568407809790692e-20,2.1060805061288433e-20,-5.50760274850226e-21,-5.50760274850226e-21
236.0,free,64,1.0,2.0,3.2583316400000004e-21,-1.498753831141207,-9.628785999731019,-8.130032168589812,-7.58367316860921,-7.58367316860921,1,-0.07529019322034763,-3.682308365029537,-3.6070181718091896,-1.1238022863221033,-1.1238022863221033,1,1.4234636379208594,5.946477634701481,4.523013996780623,6.459870882287107,6.459870882287107,-8.1886891244442,6.459870882287107,-1.728818242157094,-1.728818242157094,face,tip,tip,4.638116609827041e-21,1.9375596223700202e-20,1.4737479613873163e-20,2.10484016860708e-20,2.10484016860708e-20,-2.668146486430044e-20,2.10484016860708e-20,-5.633063178229642e-21,-5.633063178229642e-21
237.0,free,64,1.0,2.0,3.2721381300000004e-21,-1.492429975313607,-9.588158210702616,-8.09572823538901,-7.543639378090075,-7.543639378090075,1,-0.07497251308017738,-3.666771198932366,-3.5917986858521886,-1.1148398123857257,-1.1148398123857257,1,1.4174574622334295,5.92138701177025,4.503929549536823,6.428799565704349,6.428799565704349,-8.1886891244442,6.428799565704349,-1.759889558739852,-1.759889558739852,face,tip,tip,4.63811660982704e-21,1.9375596223700196e-20,1.4737479613873163e-20,2.1035920189068642e-20,2.1035920189068642e-20,-2.6794521918810188e-20,2.1035920189068642e-20,-5.758601729741545e-21,-5.758601729741545e-21
238.0,free,64,1.0,2.0,3.2859446200000004e-21,-1.486159261131617,-9.54787183166605,-8.061712570534436,-7.503952158354028,-7.503952158354028,1,-0.07465750252101698,-3.6513645972561797,-3.5767070947351627,-1.105986150119766,-1.105986150119766,1,1.4115017586106,5.896507234409871,4.485005475799273,6.3979660082342615,6.3979660082342615,-8.1886891244442,6.3979660082342615,-1.7907231162099393,-1.7907231162099393,face,tip,tip,4.63811660982704e-21,1.9375596223700196e-20,1.4737479613873163e-20,2.102336198370025e-20,2.102336198370025e-20,-2.6907578973319934e-20,2.102336198370025e-20,-5.884216989619686e-21,-5.884216989619686e-21
239.0,free,64,1.0,2.0,3.2997511100000004e-21,-1.4799410215452922,-9.507922577140253,-8.02798155559496,-7.464607203779674,-7.464607203779674,1,-0.07434512803348134,-3.6360869211170326,-3.5617417930835513,-1.097239555685504,-1.097239555685504,1,1.405595893511811,5.8718356560232206,4.466239762511409,6.36736764809417,6.36736764809417,-8.1886891244442,6.36736764809417,-1.8213214763500307,-1.8213214763500307,face,tip,tip,4.638116609827041e-21,1.9375596223700202e-20,1.4737479613873163e-20,2.101072846457683e-20,2.101072846457683e-20,-2.7020636027829683e-20,2.101072846457683e-20,-6.0099075632528535e-21,-6.0099075632528535e-21
240.0,free,64,1.0,2.0,3.3135576e-21,-1.473774600622187,-9.468306233068835,-7.994531632446649,-7.425600279801963,-7.425600279801963,1,-0.07403535666667518,-3.620936558945712,-3.5469012022790367,-1.088598319224606,-1.088598319224606,1,1.3997392439555119,5.847369674123124,4.447630430167612,6.337001960577357,6.337001960577357,-8.1886891244442,6.337001960577357,-1.8516871638668437,-1.8516871638668437,face,tip,tip,4.638116609827041e-21,1.9375596223700202e-20,1.473747961387316e-20,2.0998021007686002e-20,2.0998021007686002e-20,-2.7133693082339426e-20,2.0998021007686002e-20,-6.135672074653425e-21,-6.135672074653425e-21
